Script #,Date,Subject #,Age,Age-month,Age-day,Numerical Age,Sex,Inconsistent Char Order,Usual Act... (of inconsistent actor),Order Unusual Act,Inconsistent Char Color,Inconsistent Char Side,Inconsistent Char Side Choice,"With Hypothesis/Against? (With if baby picked nice character. If the usual act is mean (column J), with = if baby picked the consistent character. If the usual act is nice, with = if baby picked the inconsistent character.) Note: The with-against key is different than that of the 9 month olds because the script was set up differently",Choice Color (Pink/Yellow),Choice Side,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,"Note. The first half of the trials (1-5) is either consistent or inconsistent; the last half (6-10) is the remaining option. For example, if the first half of trials is consistent, then the last half of trials is inconsistent. Please refer to ""Consistent Char Order"" in the script for determining whether the first half is consistent or inconsistent.",Consistent1,Consistent2,Consistent3,Consistent4,Consistent5,Inconsistent1,Inconsistent2,Inconsistent3,Inconsistent4,Inconsistent5
1,1/26/2019,CZ116,"11,14",11,14,11.47,F,1,Nice,5,Yellow,L,L,Against,Pink,Right,1.39,27.38,12.54,15.9,7.56,14.63,20.98,14.06,3.62,7.97,,14.63,20.98,14.06,3.62,7.97,1.39,27.38,12.54,15.9,7.56
2,12/05/2018,AD104,"10,18",10,18,10.6,M,1,Nice,5,Yellow,R,L,Against,Pink,Right,5.89,6.8,19.06,5.54,3.94,3.39,5.1,1.43,2.14,1.35,"Ball rolled awau in trial 2, so the researcher counterbalanced it in trial 7. Did not effect the strory line so RG deemed keepable",3.39,5.1,1.43,2.14,1.35,5.89,6.8,19.06,5.54,3.94
3,12/18/18,KL108,"11,1",11,1,11.03,M,1,Nice,5,Yellow,R,R,NA - NC,NA,NA,17.07,13.65,22.54,25.3,18.54,14.17,8.42,23.08,6.23,10.39,"Baby is too squirmy, did not make choice",14.17,8.42,23.08,6.23,10.39,17.07,13.65,22.54,25.3,18.54
4,1/24/19,SS114,"11,15",11,15,11.5,F,1,Nice,5,Pink,L,L,With,Pink,Left,28.43,20.01,26.78,19.1,21.7,13.18,11.99,13.9,13.7,2.61,,13.18,11.99,13.9,13.7,2.61,28.43,20.01,26.78,19.1,21.7
4b,3/30/19,CL139,"11,7",11,7,11.23,M,1,Nice,5,Pink,L,L,NA-PI,NA,NA,29,5.78,5.41,6.29,27.38,9.37,23.18,9.22,9.94,5.37,PI because dad pushed baby towards a puppet right as baby extends his hand,9.37,23.18,9.22,9.94,5.37,29,5.78,5.41,6.29,27.38
4b,3/30/19,PW138,"11,12",11,12,11.4,M,1,Nice,5,Pink,L,L,Against,Yellow,Right,30,11.42,5.71,5.25,5.7,8.87,9.05,3.51,7.03,3.06,Baby was quite active but made a choice,8.87,9.05,3.51,7.03,3.06,30,11.42,5.71,5.25,5.7
5,1/22/19,ZG111,"10,19",10,19,10.63,M,1,Nice,5,Pink,L,R,With,Pink,Right,8.23,10.15,17.66,8.54,6.14,5.09,3.9,2.66,32.67,1.73,,5.09,3.9,2.66,32.67,1.73,8.23,10.15,17.66,8.54,6.14
6,2/7/2019,AM118,"10, 17",10,17,10.57,F,1,Nice,5,Pink,R,L,NA - BA,NA,NA,30,13.85,28.76,12.9,13.93,10.81,12.38,9.19,2.65,4.07,No choice after 2 min,10.81,12.38,9.19,2.65,4.07,30,13.85,28.76,12.9,13.93
7,02/15/2019,LL124,"11,1",11,1,11.03,F,1,Nice,5,Pink,R,R,NA - NC,NA,NA,21.83,21.79,27.13,9.06,8.18,9.58,27,13.6,4.11,7.22,No choice after 2 min,9.58,27,13.6,4.11,7.22,21.83,21.79,27.13,9.06,8.18
8,02/26/2019,VZ125,"0,11,9",11,9,11.3,M,1,Mean,5,Yellow,L,L,NA *** No video,,,26.38,20.89,29.58,10.79,5.22,5.56,4.02,6.01,8.3,2.11,No video can be found,5.56,4.02,6.01,8.3,2.11,26.38,20.89,29.58,10.79,5.22
9,11/28/2018,AZ99,"11,5",11,5,11.17,F,1,Mean,5,Yellow,L,R,Against,Pink,R,20.34,29.41,6.9,22.17,21.92,0.76,16.09,6.38,6.5,4.31,,0.76,16.09,6.38,6.5,4.31,20.34,29.41,6.9,22.17,21.92
10,03/09/2019,JO128,"10,18",10,18,10.6,M,1,Mean,5,Yellow,R,L,With,Pink,Right,12.97,4.99,4.75,4.71,20.95,23.04,3.74,10.91,1.94,1.76,,23.04,3.74,10.91,1.94,1.76,12.97,4.99,4.75,4.71,20.95
